,Latitude,Longitude,NOx,Normalized
301,44.76055,10.403266,14.536705,0.5142722
302,44.76055,10.422111,14.516373,0.51355296
303,44.76055,10.440955,14.496014,0.5128327
304,44.76055,10.459799,14.475501,0.512107
305,44.76055,10.478643,14.454678,0.5113703
306,44.76055,10.497487,14.43335,0.51061577
307,44.76055,10.516332,14.411299,0.50983566
308,44.76055,10.535176,14.388277,0.5090212
309,44.76055,10.55402,14.3640175,0.508163
310,44.76055,10.572865,14.338226,0.50725055
311,44.76055,10.591708,14.310602,0.50627327
312,44.76055,10.610553,14.280821,0.5052197
313,44.76055,10.629397,14.24856,0.5040784
314,44.76055,10.648241,14.213493,0.50283784
315,44.76055,10.667086,14.175293,0.50148636
316,44.76055,10.685929,14.13365,0.5000132
317,44.76055,10.704774,14.08826,0.49840736
318,44.76055,10.7236185,14.038845,0.4966592
319,44.76055,10.742462,13.985167,0.4947602
320,44.76055,10.761307,13.926999,0.49270236
321,44.76055,10.78015,13.864168,0.49047956
322,44.76055,10.798995,13.796528,0.48808664
323,44.76055,10.81784,13.723986,0.48552027
324,44.76055,10.836683,13.646506,0.48277923
325,44.76055,10.855528,13.56407,0.47986284
326,44.76055,10.874372,13.4767275,0.4767729
327,44.76055,10.893216,13.384569,0.47351256
328,44.76055,10.912061,13.287724,0.4700864
329,44.76055,10.930904,13.186382,0.4665012
330,44.76055,10.949749,13.080737,0.46276373
331,44.76055,10.968593,12.97105,0.4588833
332,44.76055,10.987437,12.857597,0.45486963
333,44.76055,11.006282,12.740685,0.45073357
334,44.76055,11.0251255,12.620657,0.44648725
335,44.76055,11.04397,12.497852,0.44214272
336,44.76055,11.062814,12.372656,0.4377136
337,44.76055,11.081658,12.245436,0.43321288
338,44.76055,11.100503,12.116591,0.42865467
339,44.76055,11.119347,11.986524,0.4240532
340,44.76055,11.138191,11.855617,0.41942203
341,44.76055,11.157035,11.724276,0.41477552
342,44.76055,11.1758795,11.592864,0.4101265
343,44.76055,11.194724,11.461761,0.40548843
344,44.76055,11.213568,11.331325,0.4008739
345,44.76055,11.232412,11.201876,0.39629433
346,44.76055,11.251256,11.073742,0.39176127
347,44.76055,11.270101,10.947193,0.3872843
348,44.76055,11.288945,10.822504,0.38287312
349,44.76055,11.307789,10.699915,0.37853622
350,44.76055,11.326633,10.579631,0.37428087
351,44.76055,11.345477,10.461846,0.37011394
352,44.76055,11.364322,10.346711,0.36604074
353,44.76055,11.383165,10.234377,0.36206663
354,44.76055,11.40201,10.124948,0.3581953
355,44.76055,11.420855,10.018522,0.35443026
356,44.76055,11.439698,9.915178,0.3507742
357,44.76055,11.458543,9.81496,0.3472287
358,44.76055,11.477386,9.7179165,0.34379557
359,44.76055,11.496231,9.624057,0.34047505
360,44.76055,11.515076,9.533396,0.3372677
361,44.76055,11.533919,9.4459305,0.33417338
362,44.76055,11.552764,9.361632,0.33119112
363,44.76055,11.571608,9.280485,0.32832032
364,44.76055,11.590452,9.202441,0.32555935
365,44.76055,11.609297,9.12746,0.32290667
366,44.76055,11.62814,9.0554905,0.3203606
367,44.76055,11.646985,8.986469,0.31791878
368,44.76055,11.665829,8.920337,0.31557918
369,44.76055,11.684673,8.857019,0.31333917
370,44.76055,11.703518,8.796449,0.31119633
371,44.76055,11.722362,8.738552,0.3091481
372,44.76055,11.741206,8.683245,0.30719146
373,44.76055,11.76005,8.630455,0.3053239
374,44.76055,11.778894,8.580098,0.3035424
375,44.76055,11.797739,8.532094,0.30184412
376,44.76055,11.816583,8.486365,0.30022636
377,44.76055,11.835427,8.442826,0.29868606
378,44.76055,11.854271,8.401399,0.29722047
379,44.76055,11.873116,8.362,0.29582664
380,44.76055,11.89196,8.324554,0.2945019
381,44.76055,11.910804,8.288983,0.2932435
382,44.76055,11.929648,8.255209,0.29204863
383,44.76055,11.948492,8.223158,0.29091474
384,44.76055,11.967337,8.192755,0.28983915
385,44.76055,11.986181,8.16393,0.2888194
386,44.76055,12.005025,8.136615,0.28785306
387,44.76055,12.0238695,8.11074,0.28693768
388,44.76055,12.042713,8.086241,0.28607097
389,44.76055,12.061558,8.063052,0.2852506
390,44.76055,12.080402,8.041115,0.28447452
391,44.76055,12.099246,8.020369,0.28374058
392,44.76055,12.118091,8.000755,0.2830467
393,44.76055,12.136934,7.982222,0.28239104
394,44.76055,12.155779,7.9647136,0.28177163
395,44.76055,12.1746235,7.94818,0.28118673
