,Latitude,Longitude,NO2,Normalized
55,44.79286,8.792857,4.0573277,0.42202812
56,44.79286,8.8714285,4.0256715,0.41873536
57,44.79286,8.95,4.0324745,0.41944298
58,44.79286,9.028571,4.0716763,0.4235206
59,44.79286,9.107142,4.1216354,0.42871717
60,44.79286,9.185715,4.162132,0.43292946
61,44.79286,9.264286,4.1813235,0.4349257
62,44.79286,9.342857,4.173615,0.43412387
63,44.79286,9.421429,4.1378493,0.43040368
64,44.79286,9.5,4.0780487,0.42418343
65,44.79286,9.578571,4.0053096,0.4166174
66,44.79286,9.657143,3.9377353,0.40958855
67,44.79286,9.735714,3.894988,0.40514216
68,44.79286,9.814285,3.889432,0.40456423
69,44.79286,9.892858,3.920839,0.40783107
70,44.79286,9.971429,3.975326,0.4134986
71,44.79286,10.05,4.02768,0.41894427
72,44.79286,10.1285715,4.0510955,0.42137986
73,44.79286,10.207143,4.0284395,0.41902328
74,44.79286,10.285714,3.955796,0.41146716
75,44.79286,10.364285,3.8441925,0.3998586
76,44.79286,10.442857,3.7282717,0.38780093
77,44.79286,10.521428,3.6644857,0.38116616
78,44.79286,10.6,3.6781967,0.38259232
79,44.79286,10.678572,3.7185135,0.38678592
80,44.79286,10.757143,3.713253,0.38623875
81,44.79286,10.835714,3.6237288,0.37692678
82,44.79286,10.914286,3.458644,0.35975525
83,44.79286,10.992857,3.2803214,0.34120682
84,44.79286,11.071428,3.1879735,0.3316011
85,44.79286,11.15,3.2499347,0.3380461
86,44.79286,11.228572,3.4436522,0.35819587
87,44.79286,11.307143,3.6870825,0.38351658
88,44.79286,11.385715,3.908442,0.4065416
89,44.79286,11.464286,4.0755086,0.42391923
90,44.79286,11.542857,4.1870565,0.43552202
91,44.79286,11.6214285,4.255414,0.44263232
92,44.79286,11.7,4.294764,0.44672537
93,44.79286,11.778571,4.316371,0.44897282
94,44.79286,11.857142,4.327809,0.45016256
95,44.79286,11.935715,4.3336906,0.45077434
96,44.79286,12.014286,4.3366446,0.45108163
97,44.79286,12.092857,4.3380995,0.45123294
98,44.79286,12.171429,4.3388047,0.4513063
99,44.79286,12.25,4.339142,0.45134136
100,44.835712,8.4,4.285865,0.4457997
101,44.835712,8.478572,4.2498784,0.4420565
102,44.835712,8.557143,4.196839,0.43653953
103,44.835712,8.635715,4.125435,0.42911237
104,44.835712,8.714286,4.0411987,0.42035043
105,44.835712,8.792857,3.961583,0.41206908
106,44.835712,8.8714285,3.9153378,0.40725884
107,44.835712,8.95,3.9250643,0.40827057
108,44.835712,9.028571,3.9822662,0.41422048
109,44.835712,9.107142,4.05396,0.4216778
110,44.835712,9.185715,4.1115365,0.42766672
111,44.835712,9.264286,4.139433,0.4305684
112,44.835712,9.342857,4.1302423,0.42961243
113,44.835712,9.421429,4.0820184,0.42459634
114,44.835712,9.5,3.9994774,0.41601074
115,44.835712,9.578571,3.8971133,0.4053632
116,44.835712,9.657143,3.8001356,0.39527595
117,44.835712,9.735714,3.73707,0.3887161
118,44.835712,9.814285,3.7263052,0.3875964
119,44.835712,9.892858,3.7692323,0.3920615
120,44.835712,9.971429,3.8486526,0.4003225
121,44.835712,10.05,3.9293022,0.40871137
122,44.835712,10.1285715,3.9728007,0.41323593
123,44.835712,10.207143,3.9566903,0.41156018
124,44.835712,10.285714,3.877333,0.40330574
125,44.835712,10.364285,3.7473664,0.3897871
126,44.835712,10.442857,3.6065834,0.37514338
127,44.835712,10.521428,3.5289452,0.36706772
128,44.835712,10.6,3.5530648,0.36957657
129,44.835712,10.678572,3.6075566,0.3752446
130,44.835712,10.757143,3.5987825,0.37433195
131,44.835712,10.835714,3.4784892,0.36181948
132,44.835712,10.914286,3.2541065,0.33848003
133,44.835712,10.992857,3.0044389,0.31251055
134,44.835712,11.071428,2.8697588,0.2985016
135,44.835712,11.15,2.9522166,0.30707857
136,44.835712,11.228572,3.2145252,0.33436292
137,44.835712,11.307143,3.5355258,0.36775222
138,44.835712,11.385715,3.8186347,0.39720017
139,44.835712,11.464286,4.0262933,0.41880003
140,44.835712,11.542857,4.1615458,0.43286848
141,44.835712,11.6214285,4.242714,0.4413113
142,44.835712,11.7,4.2886276,0.44608706
143,44.835712,11.778571,4.3134737,0.44867146
144,44.835712,11.857142,4.326465,0.4500228
145,44.835712,11.935715,4.3330765,0.45071048
146,44.835712,12.014286,4.336367,0.45105276
147,44.835712,12.092857,4.3379755,0.45122007
148,44.835712,12.171429,4.3387494,0.45130056
149,44.835712,12.25,4.3391175,0.45133883
150,44.87857,8.4,4.2734365,0.44450694
151,44.87857,8.478572,4.2278533,0.43976554
152,44.87857,8.557143,4.159675,0.4326739
153,44.87857,8.635715,4.066264,0.42295766
154,44.87857,8.714286,3.9534845,0.41122672
155,44.87857,8.792857,3.8434787,0.39978433
156,44.87857,8.8714285,3.7769854,0.39286795
157,44.87857,8.95,3.7901525,0.39423755
158,44.87857,9.028571,3.8716662,0.4027163
159,44.87857,9.107142,3.9721384,0.41316703
160,44.87857,9.185715,4.05229,0.4215041
161,44.87857,9.264286,4.0920796,0.42564288
162,44.87857,9.342857,4.0817046,0.4245637
163,44.87857,9.421429,4.01812,0.41794986
164,44.87857,9.5,3.906692,0.40635955
165,44.87857,9.578571,3.7657344,0.39169767
166,44.87857,9.657143,3.629287,0.37750491
167,44.87857,9.735714,3.5376892,0.36797726
168,44.87857,9.814285,3.5172322,0.36584938
169,44.87857,9.892858,3.5724955,0.37159768
170,44.87857,9.971429,3.6843858,0.38323608
171,44.87857,10.05,3.804296,0.3957087
172,44.87857,10.1285715,3.8770137,0.4032725
173,44.87857,10.207143,3.8739963,0.40295866
174,44.87857,10.285714,3.7943864,0.39467794
175,44.87857,10.364285,3.6539721,0.38007256
176,44.87857,10.442857,3.4955292,0.3635919
177,44.87857,10.521428,3.406882,0.3543712
178,44.87857,10.6,3.441253,0.3579463
179,44.87857,10.678572,3.5056708,0.36464682
180,44.87857,10.757143,3.4891071,0.36292392
181,44.87857,10.835714,3.334462,0.3468383
182,44.87857,10.914286,3.043642,0.3165883
183,44.87857,10.992857,2.7088752,0.2817671
184,44.87857,11.071428,2.5204253,0.26216525
185,44.87857,11.15,2.6278763,0.2733419
186,44.87857,11.228572,2.9717338,0.30910867
187,44.87857,11.307143,3.3801198,0.35158747
188,44.87857,11.385715,3.7293887,0.38791713
189,44.87857,11.464286,3.978693,0.41384882
190,44.87857,11.542857,4.1374197,0.43035898
191,44.87857,11.6214285,4.2309213,0.44008467
192,44.87857,11.7,4.2830157,0.44550335
193,44.87857,11.778571,4.3108563,0.44839922
194,44.87857,11.857142,4.325264,0.44989786
195,44.87857,11.935715,4.332532,0.45065382
196,44.87857,12.014286,4.336123,0.45102736
197,44.87857,12.092857,4.337867,0.45120874
198,44.87857,12.171429,4.3387017,0.45129558
199,44.87857,12.25,4.3390965,0.45133665
200,44.92143,8.4,4.2595515,0.4430627
201,44.92143,8.478572,4.202956,0.43717584
202,44.92143,8.557143,4.117223,0.42825818
203,44.92143,8.635715,3.9980488,0.41586214
204,44.92143,8.714286,3.8513286,0.40060085
205,44.92143,8.792857,3.7038574,0.38526145
206,44.92143,8.8714285,3.6105368,0.3755546
207,44.92143,8.95,3.6271253,0.37728006
208,44.92143,9.028571,3.7398396,0.38900417
209,44.92143,9.107142,3.8768654,0.4032571
210,44.92143,9.185715,3.9860694,0.4146161
211,44.92143,9.264286,4.0417366,0.42040637
212,44.92143,9.342857,4.0308027,0.41926908
213,44.92143,9.421429,3.9489162,0.41075155
214,44.92143,9.5,3.8022432,0.39549518
215,44.92143,9.578571,3.6131551,0.37582693
216,44.92143,9.657143,3.425856,0.3563448
217,44.92143,9.735714,3.295514,0.3427871
218,44.92143,9.814285,3.2578692,0.33887142
219,44.92143,9.892858,3.3231936,0.3456662
220,44.92143,9.971429,3.4750137,0.36145797
221,44.92143,10.05,3.6475186,0.3794013
222,44.92143,10.1285715,3.7605882,0.39116237
223,44.92143,10.207143,3.7788336,0.3930602
224,44.92143,10.285714,3.7081017,0.38570294
225,44.92143,10.364285,3.570486,0.37138867
226,44.92143,10.442857,3.4104748,0.35474488
227,44.92143,10.521428,3.3197894,0.34531212
228,44.92143,10.6,3.358684,0.3493578
229,44.92143,10.678572,3.422219,0.35596648
230,44.92143,10.757143,3.392457,0.35287073
231,44.92143,10.835714,3.2044759,0.33331764
232,44.92143,10.914286,2.8490238,0.29634485
233,44.92143,10.992857,2.4243932,0.25217634
234,44.92143,11.071428,2.1740623,0.22613786
235,44.92143,11.15,2.309429,0.24021819
236,44.92143,11.228572,2.740242,0.28502977
237,44.92143,11.307143,3.2366855,0.33666795
238,44.92143,11.385715,3.6494238,0.37959948
239,44.92143,11.464286,3.9370708,0.40951943
240,44.92143,11.542857,4.1167297,0.4282069
241,44.92143,11.6214285,4.220964,0.43904895
242,44.92143,11.7,4.278336,0.4450166
243,44.92143,11.778571,4.3086963,0.44817454
244,44.92143,11.857142,4.324281,0.44979563
245,44.92143,11.935715,4.3320894,0.4506078
246,44.92143,12.014286,4.3359256,0.45100683
247,44.92143,12.092857,4.3377795,0.45119968
248,44.92143,12.171429,4.3386636,0.45129162
249,44.92143,12.25,4.33908,0.45133492
