,Latitude,Longitude,PM2.5,Normalized
348,44.76055,11.288945,9.870584,0.73692894
349,44.76055,11.307789,9.8137,0.73268205
350,44.76055,11.326633,9.757122,0.728458
351,44.76055,11.345477,9.700875,0.72425866
352,44.76055,11.364322,9.644964,0.72008437
353,44.76055,11.383165,9.589405,0.7159364
354,44.76055,11.40201,9.534193,0.71181434
355,44.76055,11.420855,9.47937,0.7077213
356,44.76055,11.439698,9.424921,0.70365614
357,44.76055,11.458543,9.370863,0.69962025
358,44.76055,11.477386,9.317202,0.6956139
359,44.76055,11.496231,9.26395,0.69163823
360,44.76055,11.515076,9.211111,0.6876933
361,44.76055,11.533919,9.158701,0.68378043
362,44.76055,11.552764,9.106713,0.67989904
363,44.76055,11.571608,9.055166,0.6760506
364,44.76055,11.590452,9.004065,0.67223537
365,44.76055,11.609297,8.953402,0.6684529
366,44.76055,11.62814,8.903193,0.66470444
367,44.76055,11.646985,8.853451,0.6609907
368,44.76055,11.665829,8.804161,0.6573108
369,44.76055,11.684673,8.755346,0.6536663
370,44.76055,11.703518,8.706987,0.6500559
371,44.76055,11.722362,8.659106,0.6464811
372,44.76055,11.741206,8.611708,0.64294237
373,44.76055,11.76005,8.564781,0.63943887
374,44.76055,11.778894,8.51833,0.6359709
375,44.76055,11.797739,8.47237,0.6325396
376,44.76055,11.816583,8.426888,0.62914395
377,44.76055,11.835427,8.381887,0.6257842
378,44.76055,11.854271,8.337381,0.62246144
379,44.76055,11.873116,8.293358,0.61917466
380,44.76055,11.89196,8.249821,0.61592424
381,44.76055,11.910804,8.206784,0.6127112
382,44.76055,11.929648,8.164218,0.6095332
383,44.76055,11.948492,8.122148,0.60639226
384,44.76055,11.967337,8.080572,0.6032883
385,44.76055,11.986181,8.039469,0.60021955
386,44.76055,12.005025,7.9988656,0.5971881
387,44.76055,12.0238695,7.9587383,0.59419227
388,44.76055,12.042713,7.9191017,0.591233
389,44.76055,12.061558,7.879953,0.58831024
390,44.76055,12.080402,7.8412766,0.5854227
391,44.76055,12.099246,7.8030834,0.5825712
392,44.76055,12.118091,7.76538,0.5797563
393,44.76055,12.136934,7.728141,0.57697606
394,44.76055,12.155779,7.691382,0.5742317
395,44.76055,12.1746235,7.655098,0.5715228
396,44.76055,12.193467,7.619274,0.5688482
397,44.76055,12.212312,7.583932,0.56620955
398,44.76055,12.231155,7.549045,0.56360495
399,44.76055,12.25,7.514623,0.56103504
400,44.771107,8.5,11.883395,0.88720363
401,44.771107,8.518845,11.916784,0.8896964
402,44.771107,8.537688,11.950044,0.89217955
403,44.771107,8.556533,11.98317,0.8946527
404,44.771107,8.5753765,12.016157,0.8971155
405,44.771107,8.594221,12.048998,0.89956737
406,44.771107,8.613066,12.081691,0.90200824
407,44.771107,8.631909,12.1142235,0.90443707
408,44.771107,8.650754,12.146592,0.9068537
409,44.771107,8.669598,12.178789,0.9092575
410,44.771107,8.688442,12.21081,0.9116481
411,44.771107,8.707287,12.242636,0.91402423
412,44.771107,8.7261305,12.274273,0.91638625
413,44.771107,8.744975,12.305715,0.91873366
414,44.771107,8.763819,12.336942,0.92106503
415,44.771107,8.782663,12.36796,0.9233808
416,44.771107,8.801508,12.398747,0.9256794
417,44.771107,8.820352,12.429301,0.9279605
418,44.771107,8.839196,12.459624,0.9302244
419,44.771107,8.85804,12.489682,0.9324685
420,44.771107,8.876884,12.5194845,0.9346935
421,44.771107,8.895729,12.54902,0.9368986
422,44.771107,8.914573,12.578295,0.93908423
423,44.771107,8.933417,12.60726,0.94124675
424,44.771107,8.952261,12.635927,0.94338703
425,44.771107,8.971106,12.664284,0.94550407
426,44.771107,8.98995,12.692324,0.9475975
427,44.771107,9.008794,12.720026,0.9496657
428,44.771107,9.027638,12.747378,0.95170784
429,44.771107,9.046482,12.77438,0.9537237
430,44.771107,9.065327,12.801001,0.95571125
431,44.771107,9.084171,12.827238,0.9576701
432,44.771107,9.103015,12.853077,0.9595992
433,44.771107,9.12186,12.878499,0.9614972
434,44.771107,9.140703,12.903483,0.9633625
435,44.771107,9.159548,12.928026,0.9651949
436,44.771107,9.178392,12.952098,0.966992
437,44.771107,9.197236,12.975683,0.96875286
438,44.771107,9.216081,12.998774,0.9704768
439,44.771107,9.234924,13.02133,0.9721608
440,44.771107,9.253769,13.043349,0.9738048
441,44.771107,9.272614,13.064814,0.9754073
442,44.771107,9.291457,13.085687,0.97696567
443,44.771107,9.310302,13.105957,0.978479
444,44.771107,9.329145,13.125591,0.9799449
445,44.771107,9.34799,13.144583,0.98136276
446,44.771107,9.366835,13.1628895,0.98272955
447,44.771107,9.385678,13.180491,0.9840437
448,44.771107,9.404523,13.197376,0.9853043
449,44.771107,9.423367,13.213506,0.9865085
450,44.771107,9.442211,13.228863,0.98765504
451,44.771107,9.461055,13.243412,0.9887413
452,44.771107,9.479899,13.257134,0.98976576
453,44.771107,9.498744,13.270002,0.9907265
454,44.771107,9.517588,13.281982,0.9916209
455,44.771107,9.536432,13.293059,0.9924479
456,44.771107,9.555276,13.303193,0.9932045
457,44.771107,9.5741205,13.312374,0.9938899
458,44.771107,9.592965,13.320564,0.9945014
459,44.771107,9.611809,13.327732,0.99503654
460,44.771107,9.630653,13.333856,0.9954937
461,44.771107,9.649497,13.338911,0.9958711
462,44.771107,9.668342,13.34288,0.9961675
463,44.771107,9.687186,13.3457365,0.99638075
464,44.771107,9.70603,13.347448,0.99650854
465,44.771107,9.7248745,13.348001,0.9965498
466,44.771107,9.743718,13.347361,0.996502
467,44.771107,9.762563,13.345526,0.996365
468,44.771107,9.781407,13.342461,0.9961362
469,44.771107,9.800251,13.338146,0.995814
470,44.771107,9.819096,13.332585,0.9953989
471,44.771107,9.837939,13.325736,0.99488753
472,44.771107,9.856784,13.317596,0.9942798
473,44.771107,9.875628,13.308157,0.9935751
