,Latitude,Longitude,NOx_2019,NOx_2020,NOx_2019_Norm,NOx_2020_Norm
127,44.47222,9.277273,4.009827,5.648488,0.08524303,0.120078556
128,44.47222,9.317172,4.0145464,5.7255683,0.08534336,0.12171717
129,44.47222,9.357071,4.0208745,5.7911186,0.08547788,0.123110674
130,44.47222,9.39697,4.0298204,5.8460035,0.085668065,0.12427744
131,44.47222,9.436869,4.042081,5.8912973,0.0859287,0.12524033
132,44.47222,9.476768,4.058013,5.9281855,0.08626739,0.12602451
133,44.47222,9.516666,4.077648,5.9578896,0.08668481,0.12665598
134,44.47222,9.556565,4.1007423,5.981614,0.08717576,0.12716033
135,44.47222,9.596465,4.126855,6.0005193,0.08773087,0.12756222
136,44.47222,9.636364,4.1554418,6.015709,0.08833858,0.12788513
137,44.47222,9.676263,4.1859446,6.0282536,0.08898703,0.12815182
138,44.47222,9.716162,4.217859,6.0391912,0.08966548,0.12838434
139,44.47222,9.756061,4.250787,6.0495634,0.090365484,0.12860483
140,44.47222,9.795959,4.2844534,6.0604124,0.09108119,0.12883547
141,44.47222,9.835858,4.3187127,6.072798,0.09180949,0.12909876
142,44.47222,9.875757,4.3535485,6.0877895,0.09255005,0.12941746
143,44.47222,9.915656,4.3890786,6.1064367,0.093305364,0.12981386
144,44.47222,9.955556,4.425569,6.1297684,0.0940811,0.13030986
145,44.47222,9.995455,4.4634514,6.1587343,0.094886415,0.13092564
146,44.47222,10.035354,4.5033417,6.1941752,0.095734425,0.13167906
147,44.47222,10.075253,4.545989,6.2367783,0.09664105,0.13258474
148,44.47222,10.115151,4.5921993,6.287014,0.09762341,0.13365267
149,44.47222,10.15505,4.6426663,6.3450794,0.09869626,0.13488707
150,44.47222,10.194949,4.697745,6.4108353,0.09986715,0.13628493
151,44.47222,10.234848,4.7572036,6.483745,0.101131156,0.13783489
152,44.47222,10.274748,4.8199935,6.562835,0.10246598,0.13951623
153,44.47222,10.314647,4.884112,6.6466656,0.10382904,0.14129834
154,44.47222,10.354546,4.946617,6.7333508,0.105157815,0.14314114
155,44.47222,10.394444,5.003822,6.820601,0.1063739,0.14499596
156,44.47222,10.434343,5.0516796,6.905818,0.10739128,0.14680754
157,44.47222,10.474242,5.086292,6.9862127,0.10812709,0.14851661
158,44.47222,10.514141,5.1044526,7.05894,0.10851316,0.1500627
159,44.47222,10.55404,5.1040983,7.1212425,0.10850563,0.15138716
160,44.47222,10.59394,5.0845613,7.1705694,0.108090304,0.15243576
161,44.47222,10.633839,5.046586,7.2046742,0.107283,0.15316078
162,44.47222,10.673738,4.9921083,7.2216725,0.106124885,0.15352215
163,44.47222,10.713636,4.923879,7.2200947,0.104674436,0.1534886
164,44.47222,10.753535,4.84504,7.198886,0.10299843,0.15303774
165,44.47222,10.793434,4.7587385,7.157426,0.10116379,0.15215635
166,44.47222,10.833333,4.667828,7.095525,0.09923117,0.15084043
167,44.47222,10.873232,4.574696,7.0134177,0.09725132,0.14909495
168,44.47222,10.913132,4.4811916,6.911764,0.09526355,0.14693394
169,44.47222,10.953031,4.388654,6.791643,0.09329634,0.14438035
170,44.47222,10.992929,4.297962,6.654528,0.09136836,0.14146549
171,44.47222,11.032828,4.209649,6.5022583,0.08949095,0.13822846
172,44.47222,11.072727,4.124011,6.3370075,0.087670416,0.13471547
173,44.47222,11.112626,4.041207,6.161215,0.08591012,0.13097838
174,44.47222,11.152525,3.9613564,5.9775143,0.084212616,0.12707317
175,44.47222,11.192424,3.8845992,5.7886515,0.08258087,0.12305822
176,44.47222,11.232324,3.8111343,5.597372,0.08101912,0.118991904
177,44.47222,11.2722225,3.74123,5.4063454,0.079533055,0.11493096
178,44.47222,11.312121,3.6752021,5.2180514,0.078129396,0.1109281
179,44.47222,11.35202,3.6133823,5.0347075,0.076815195,0.10703048
180,44.47222,11.391919,3.55608,4.8582196,0.07559704,0.10327861
181,44.47222,11.431818,3.5035405,4.6901445,0.074480124,0.099705584
182,44.47222,11.471717,3.4559157,4.531671,0.07346769,0.09633667
183,44.47222,11.511616,3.4132485,4.3836365,0.072560646,0.09318967
184,44.47222,11.551516,3.3754654,4.246541,0.071757436,0.09027522
185,44.47222,11.591414,3.3423922,4.1205993,0.07105435,0.087597884
186,44.47222,11.631313,3.313761,4.0057597,0.07044569,0.08515657
187,44.47222,11.671212,3.289239,3.9017663,0.069924384,0.082945816
188,44.47222,11.711111,3.2684484,3.808196,0.06948241,0.08095665
189,44.47222,11.75101,3.25099,3.7245054,0.069111265,0.07917751
190,44.47222,11.790909,3.2364614,3.6500616,0.06880242,0.07759494
191,44.47222,11.830808,3.224473,3.5841835,0.068547554,0.07619447
192,44.47222,11.8707075,3.2146585,3.5261605,0.068338916,0.07496099
193,44.47222,11.910606,3.2066834,3.4752858,0.06816938,0.073879465
194,44.47222,11.950505,3.2002473,3.4308608,0.068032555,0.07293506
195,44.47222,11.990404,3.1950865,3.392218,0.067922845,0.07211357
196,44.47222,12.030303,3.1909728,3.3587255,0.06783539,0.071401566
197,44.47222,12.070202,3.1877124,3.3297946,0.067766085,0.07078654
198,44.47222,12.110101,3.1851416,3.304883,0.06771143,0.070256956
199,44.47222,12.15,3.1831243,3.2834954,0.06766854,0.069802284
200,44.494446,8.2,3.2312665,3.2162135,0.06869198,0.068371974
201,44.494446,8.239899,3.2442422,3.2304146,0.06896782,0.06867387
202,44.494446,8.279798,3.2597773,3.248011,0.06929807,0.06904794
203,44.494446,8.319697,3.278218,3.2696745,0.0696901,0.06950848
204,44.494446,8.359596,3.2999086,3.2961762,0.07015121,0.07007186
205,44.494446,8.399495,3.3251762,3.3283722,0.07068836,0.0707563
206,44.494446,8.439394,3.3543086,3.367205,0.071307674,0.071581826
207,44.494446,8.479293,3.3875265,3.4136786,0.07201383,0.072569795
208,44.494446,8.519192,3.4249609,3.4688332,0.07280964,0.0737423
209,44.494446,8.559091,3.466618,3.5336986,0.073695205,0.07512124
210,44.494446,8.5989895,3.5123513,3.6092308,0.074667424,0.07672694
211,44.494446,8.638889,3.5618322,3.6962538,0.07571932,0.07857692
212,44.494446,8.678788,3.614527,3.795345,0.07683953,0.08068346
213,44.494446,8.718687,3.6696832,3.9067583,0.07801207,0.08305194
214,44.494446,8.758586,3.7263322,4.0303273,0.079216346,0.08567884
215,44.494446,8.798485,3.7833014,4.165379,0.08042743,0.08854984
216,44.494446,8.838384,3.8392668,4.31068,0.08161717,0.09163872
217,44.494446,8.878283,3.8928125,4.4644203,0.082755476,0.094907016
218,44.494446,8.918181,3.9425359,4.624269,0.08381252,0.098305166
219,44.494446,8.958081,3.9871666,4.787464,0.08476131,0.101774454
220,44.494446,8.99798,4.0256906,4.9509525,0.08558027,0.10524998
