,Latitude,Longitude,PM2.5,Normalized
142,44.75,11.1758795,1.0703889,0.58345944
143,44.75,11.194724,1.0701491,0.5833554
144,44.75,11.213568,1.0698103,0.5832085
145,44.75,11.232412,1.069394,0.5830279
146,44.75,11.251256,1.068926,0.58282495
147,44.75,11.270101,1.0684335,0.5826113
148,44.75,11.288945,1.0679426,0.5823984
149,44.75,11.307789,1.0674751,0.58219564
150,44.75,11.326633,1.0670474,0.5820101
151,44.75,11.345477,1.06667,0.5818464
152,44.75,11.364322,1.0663474,0.5817065
153,44.75,11.383165,1.0660796,0.58159035
154,44.75,11.40201,1.0658634,0.5814966
155,44.75,11.420855,1.0656928,0.58142257
156,44.75,11.439698,1.065561,0.58136547
157,44.75,11.458543,1.0654615,0.58132225
158,44.75,11.477386,1.0653876,0.58129025
159,44.75,11.496231,1.0653336,0.5812668
160,44.75,11.515076,1.0652947,0.58124995
161,44.75,11.533919,1.0652672,0.581238
162,44.75,11.552764,1.0652479,0.5812296
163,44.75,11.571608,1.0652345,0.58122385
164,44.75,11.590452,1.0652255,0.5812199
165,44.75,11.609297,1.0652193,0.5812172
166,44.75,11.62814,1.0652151,0.5812154
167,44.75,11.646985,1.0652124,0.5812142
168,44.75,11.665829,1.0652105,0.5812134
169,44.75,11.684673,1.0652093,0.5812129
170,44.75,11.703518,1.0652086,0.5812126
171,44.75,11.722362,1.065208,0.5812123
172,44.75,11.741206,1.0652077,0.5812122
173,44.75,11.76005,1.0652075,0.5812121
174,44.75,11.778894,1.0652074,0.58121204
175,44.75,11.797739,1.0652072,0.581212
176,44.75,11.816583,1.0652072,0.581212
177,44.75,11.835427,1.0652071,0.5812119
178,44.75,11.854271,1.0652071,0.5812119
179,44.75,11.873116,1.0652071,0.5812119
180,44.75,11.89196,1.0652071,0.5812119
181,44.75,11.910804,1.0652071,0.5812119
182,44.75,11.929648,1.0652071,0.5812119
183,44.75,11.948492,1.0652071,0.5812119
184,44.75,11.967337,1.0652071,0.5812119
185,44.75,11.986181,1.0652071,0.5812119
186,44.75,12.005025,1.0652071,0.5812119
187,44.75,12.0238695,1.0652071,0.5812119
188,44.75,12.042713,1.0652071,0.5812119
189,44.75,12.061558,1.0652071,0.5812119
