,Latitude,Longitude,PM10,Normalized
235,44.76055,9.159548,2.3400958,0.99488926
236,44.76055,9.178392,2.340174,0.9949225
237,44.76055,9.197236,2.340254,0.99495655
238,44.76055,9.216081,2.340336,0.9949914
239,44.76055,9.234924,2.3404198,0.995027
240,44.76055,9.253769,2.340505,0.9950632
241,44.76055,9.272614,2.340592,0.9951002
242,44.76055,9.291457,2.3406806,0.99513793
243,44.76055,9.310302,2.340771,0.9951763
244,44.76055,9.329145,2.340863,0.9952154
245,44.76055,9.34799,2.3409564,0.9952552
246,44.76055,9.366835,2.3410516,0.99529564
247,44.76055,9.385678,2.3411481,0.99533665
248,44.76055,9.404523,2.3412464,0.99537843
249,44.76055,9.423367,2.341346,0.9954208
250,44.76055,9.442211,2.341447,0.9954638
251,44.76055,9.461055,2.3415496,0.99550736
252,44.76055,9.479899,2.3416533,0.99555147
253,44.76055,9.498744,2.3417587,0.9955963
254,44.76055,9.517588,2.341865,0.99564147
255,44.76055,9.536432,2.3419728,0.9956873
256,44.76055,9.555276,2.342082,0.99573374
257,44.76055,9.5741205,2.3421922,0.9957805
258,44.76055,9.592965,2.3423035,0.99582785
259,44.76055,9.611809,2.342416,0.9958757
260,44.76055,9.630653,2.3425295,0.995924
261,44.76055,9.649497,2.342644,0.99597263
262,44.76055,9.668342,2.3427596,0.9960218
263,44.76055,9.687186,2.342876,0.9960713
264,44.76055,9.70603,2.3429933,0.9961211
265,44.76055,9.7248745,2.3431113,0.9961713
266,44.76055,9.743718,2.34323,0.9962218
267,44.76055,9.762563,2.3433497,0.9962727
268,44.76055,9.781407,2.3434699,0.99632376
269,44.76055,9.800251,2.3435907,0.99637514
270,44.76055,9.819096,2.343712,0.99642676
271,44.76055,9.837939,2.3438337,0.99647844
272,44.76055,9.856784,2.343956,0.9965304
273,44.76055,9.875628,2.3440785,0.9965825
274,44.76055,9.894472,2.3442016,0.99663484
275,44.76055,9.913317,2.3443246,0.9966871
276,44.76055,9.93216,2.3444479,0.99673957
277,44.76055,9.951005,2.3445714,0.9967921
278,44.76055,9.96985,2.3446946,0.9968445
279,44.76055,9.988693,2.344818,0.996897
280,44.76055,10.007538,2.3449414,0.9969494
281,44.76055,10.0263815,2.3450646,0.99700177
282,44.76055,10.045226,2.3451874,0.997054
283,44.76055,10.064071,2.3453102,0.9971062
284,44.76055,10.082914,2.3454323,0.99715805
285,44.76055,10.101759,2.3455544,0.99720997
286,44.76055,10.120603,2.3456757,0.9972616
287,44.76055,10.139447,2.3457966,0.99731296
288,44.76055,10.158292,2.3459167,0.99736404
289,44.76055,10.177135,2.3460362,0.9974148
290,44.76055,10.19598,2.3461552,0.99746543
291,44.76055,10.214824,2.346273,0.9975155
292,44.76055,10.233668,2.3463902,0.9975653
293,44.76055,10.252513,2.3465064,0.99761474
294,44.76055,10.271357,2.3466215,0.9976637
295,44.76055,10.290201,2.3467357,0.99771225
296,44.76055,10.309045,2.3468487,0.9977603
297,44.76055,10.327889,2.3469608,0.9978079
298,44.76055,10.346734,2.3470714,0.99785495
299,44.76055,10.365578,2.3471808,0.9979015
300,44.76055,10.384422,2.3472888,0.9979474
301,44.76055,10.403266,2.3473957,0.9979928
302,44.76055,10.422111,2.347501,0.9980376
303,44.76055,10.440955,2.3476048,0.9980817
304,44.76055,10.459799,2.3477073,0.99812526
305,44.76055,10.478643,2.3478081,0.9981682
306,44.76055,10.497487,2.3479073,0.9982103
307,44.76055,10.516332,2.3480048,0.9982518
308,44.76055,10.535176,2.348101,0.9982926
309,44.76055,10.55402,2.348195,0.9983327
310,44.76055,10.572865,2.3482878,0.9983721
311,44.76055,10.591708,2.3483784,0.99841064
312,44.76055,10.610553,2.3484676,0.99844855
313,44.76055,10.629397,2.3485548,0.9984856
314,44.76055,10.648241,2.3486402,0.9985219
315,44.76055,10.667086,2.3487236,0.9985574
316,44.76055,10.685929,2.3488054,0.99859214
317,44.76055,10.704774,2.348885,0.998626
318,44.76055,10.7236185,2.348963,0.9986592
319,44.76055,10.742462,2.3490388,0.9986914
320,44.76055,10.761307,2.349113,0.9987229
321,44.76055,10.78015,2.349185,0.99875355
322,44.76055,10.798995,2.349255,0.99878335
323,44.76055,10.81784,2.3493233,0.9988123
324,44.76055,10.836683,2.3493896,0.9988405
325,44.76055,10.855528,2.349454,0.99886787
326,44.76055,10.874372,2.3495162,0.99889433
327,44.76055,10.893216,2.3495765,0.99891996
328,44.76055,10.912061,2.349635,0.9989448
329,44.76055,10.930904,2.3496912,0.9989687
330,44.76055,10.949749,2.3497458,0.99899197
331,44.76055,10.968593,2.3497982,0.99901426
332,44.76055,10.987437,2.3498487,0.9990357
333,44.76055,11.006282,2.3498974,0.9990564
334,44.76055,11.0251255,2.349944,0.99907625
335,44.76055,11.04397,2.349989,0.9990953
336,44.76055,11.062814,2.350032,0.9991137
337,44.76055,11.081658,2.350073,0.9991311
338,44.76055,11.100503,2.3501122,0.9991477
339,44.76055,11.119347,2.3501496,0.9991636
340,44.76055,11.138191,2.3501852,0.99917877
341,44.76055,11.157035,2.350219,0.99919313
