,Latitude,Longitude,PM10,Normalized
359,44.76055,11.496231,18.919968,0.8151982
360,44.76055,11.515076,18.828518,0.81125796
361,44.76055,11.533919,18.735392,0.80724543
362,44.76055,11.552764,18.640644,0.8031631
363,44.76055,11.571608,18.544353,0.7990143
364,44.76055,11.590452,18.446564,0.7948008
365,44.76055,11.609297,18.347328,0.7905251
366,44.76055,11.62814,18.246729,0.7861906
367,44.76055,11.646985,18.14481,0.78179926
368,44.76055,11.665829,18.041649,0.77735436
369,44.76055,11.684673,17.937298,0.77285826
370,44.76055,11.703518,17.831821,0.76831365
371,44.76055,11.722362,17.725292,0.7637236
372,44.76055,11.741206,17.617773,0.759091
373,44.76055,11.76005,17.509321,0.7544182
374,44.76055,11.778894,17.400003,0.74970806
375,44.76055,11.797739,17.289877,0.74496305
376,44.76055,11.816583,17.179012,0.7401863
377,44.76055,11.835427,17.067476,0.73538053
378,44.76055,11.854271,16.955326,0.7305484
379,44.76055,11.873116,16.84261,0.7256918
380,44.76055,11.89196,16.729397,0.7208138
381,44.76055,11.910804,16.615751,0.7159172
382,44.76055,11.929648,16.50172,0.711004
383,44.76055,11.948492,16.387375,0.7060773
384,44.76055,11.967337,16.272757,0.70113873
385,44.76055,11.986181,16.15792,0.69619083
386,44.76055,12.005025,16.04293,0.6912363
387,44.76055,12.0238695,15.927825,0.6862768
388,44.76055,12.042713,15.812672,0.6813152
389,44.76055,12.061558,15.697504,0.67635304
390,44.76055,12.080402,15.582379,0.6713927
391,44.76055,12.099246,15.46735,0.66643643
392,44.76055,12.118091,15.352437,0.66148525
393,44.76055,12.136934,15.237721,0.65654254
394,44.76055,12.155779,15.123214,0.65160877
395,44.76055,12.1746235,15.008967,0.64668626
396,44.76055,12.193467,14.895034,0.6417773
397,44.76055,12.212312,14.781439,0.63688284
398,44.76055,12.231155,14.668223,0.63200474
399,44.76055,12.25,14.555425,0.62714463
400,44.771107,8.5,14.667089,0.6319559
401,44.771107,8.518845,14.769439,0.6363658
402,44.771107,8.537688,14.8720875,0.64078856
403,44.771107,8.556533,14.975001,0.6452228
404,44.771107,8.5753765,15.078165,0.6496678
405,44.771107,8.594221,15.181543,0.654122
406,44.771107,8.613066,15.285108,0.65858424
407,44.771107,8.631909,15.388828,0.6630532
408,44.771107,8.650754,15.49268,0.6675278
409,44.771107,8.669598,15.596619,0.6720062
410,44.771107,8.688442,15.700634,0.67648786
411,44.771107,8.707287,15.804678,0.6809708
412,44.771107,8.7261305,15.908716,0.6854534
413,44.771107,8.744975,16.012714,0.6899344
414,44.771107,8.763819,16.11662,0.6944113
415,44.771107,8.782663,16.220411,0.69888335
416,44.771107,8.801508,16.324032,0.703348
417,44.771107,8.820352,16.427422,0.7078027
418,44.771107,8.839196,16.530565,0.71224684
419,44.771107,8.85804,16.633383,0.7166769
420,44.771107,8.876884,16.735844,0.7210916
421,44.771107,8.895729,16.837881,0.72548807
422,44.771107,8.914573,16.939442,0.72986394
423,44.771107,8.933417,17.040472,0.73421705
424,44.771107,8.952261,17.140896,0.7385439
425,44.771107,8.971106,17.240686,0.74284357
426,44.771107,8.98995,17.339766,0.7471126
427,44.771107,9.008794,17.438095,0.7513493
428,44.771107,9.027638,17.535606,0.7555507
429,44.771107,9.046482,17.632235,0.75971407
430,44.771107,9.065327,17.727955,0.76383835
431,44.771107,9.084171,17.822718,0.7679214
432,44.771107,9.103015,17.916466,0.7719607
433,44.771107,9.12186,18.009165,0.7759548
434,44.771107,9.140703,18.10077,0.77990174
435,44.771107,9.159548,18.191296,0.78380215
436,44.771107,9.178392,18.280659,0.78765255
437,44.771107,9.197236,18.368864,0.791453
438,44.771107,9.216081,18.455898,0.79520303
439,44.771107,9.234924,18.541763,0.79890263
440,44.771107,9.253769,18.626423,0.8025504
441,44.771107,9.272614,18.70991,0.8061475
442,44.771107,9.291457,18.792198,0.80969304
443,44.771107,9.310302,18.873314,0.8131881
444,44.771107,9.329145,18.953245,0.81663203
445,44.771107,9.34799,19.032019,0.8200261
446,44.771107,9.366835,19.109642,0.82337064
447,44.771107,9.385678,19.18617,0.826668
448,44.771107,9.404523,19.261562,0.82991636
449,44.771107,9.423367,19.335863,0.8331178
450,44.771107,9.442211,19.409077,0.8362723
451,44.771107,9.461055,19.481236,0.8393814
452,44.771107,9.479899,19.552341,0.8424451
453,44.771107,9.498744,19.622435,0.8454652
454,44.771107,9.517588,19.691475,0.8484399
455,44.771107,9.536432,19.759504,0.85137105
456,44.771107,9.555276,19.826519,0.8542585
457,44.771107,9.5741205,19.892527,0.8571025
458,44.771107,9.592965,19.957525,0.8599031
459,44.771107,9.611809,20.02147,0.8626582
460,44.771107,9.630653,20.084385,0.8653691
461,44.771107,9.649497,20.146248,0.86803454
462,44.771107,9.668342,20.207047,0.87065417
463,44.771107,9.687186,20.266727,0.87322557
464,44.771107,9.70603,20.325294,0.87574905
465,44.771107,9.7248745,20.38269,0.87822205
466,44.771107,9.743718,20.438889,0.8806434
467,44.771107,9.762563,20.49384,0.8830111
468,44.771107,9.781407,20.547508,0.8853235
469,44.771107,9.800251,20.599842,0.88757837
470,44.771107,9.819096,20.650806,0.88977426
471,44.771107,9.837939,20.700344,0.8919087
472,44.771107,9.856784,20.748405,0.8939795
473,44.771107,9.875628,20.794947,0.89598477
474,44.771107,9.894472,20.839918,0.89792246
475,44.771107,9.913317,20.883268,0.8997903
476,44.771107,9.93216,20.924969,0.901587
477,44.771107,9.951005,20.964931,0.90330887
478,44.771107,9.96985,21.003178,0.90495676
479,44.771107,9.988693,21.039623,0.9065271
480,44.771107,10.007538,21.074245,0.9080188
481,44.771107,10.0263815,21.107025,0.9094312
482,44.771107,10.045226,21.137932,0.9107629
483,44.771107,10.064071,21.166931,0.91201234
484,44.771107,10.082914,21.194006,0.9131789
485,44.771107,10.101759,21.219166,0.914263
486,44.771107,10.120603,21.242365,0.9152626
487,44.771107,10.139447,21.26364,0.9161792
488,44.771107,10.158292,21.282957,0.91701156
489,44.771107,10.177135,21.300343,0.9177606
490,44.771107,10.19598,21.31582,0.9184275
491,44.771107,10.214824,21.329357,0.91901076
492,44.771107,10.233668,21.341022,0.9195134
493,44.771107,10.252513,21.350819,0.91993546
494,44.771107,10.271357,21.358782,0.92027855
495,44.771107,10.290201,21.364948,0.92054427
496,44.771107,10.309045,21.369335,0.9207333
497,44.771107,10.327889,21.372,0.9208481
498,44.771107,10.346734,21.372993,0.9208909
499,44.771107,10.365578,21.372332,0.9208624
500,44.771107,10.384422,21.370102,0.9207663
501,44.771107,10.403266,21.366316,0.92060316
502,44.771107,10.422111,21.36106,0.9203767
503,44.771107,10.440955,21.354355,0.9200878
504,44.771107,10.459799,21.346287,0.9197402
505,44.771107,10.478643,21.336887,0.9193352
506,44.771107,10.497487,21.326206,0.918875
507,44.771107,10.516332,21.314314,0.9183626
508,44.771107,10.535176,21.301237,0.9177992
