,Latitude,Longitude,NO2_2019,NO2_2020,NO2_2019_Norm,NO2_2020_Norm
135,44.770203,9.728787,10.75984,12.302717,0.28086263,0.32113615
136,44.770203,9.768182,10.759294,12.370823,0.28084835,0.3229139
137,44.770203,9.807576,10.758791,12.417858,0.28083524,0.32414165
138,44.770203,9.84697,10.759997,12.445322,0.28086674,0.32485852
139,44.770203,9.886364,10.764046,12.45562,0.2809724,0.32512733
140,44.770203,9.925757,10.770914,12.451814,0.28115168,0.32502797
141,44.770203,9.965152,10.779237,12.437426,0.28136894,0.3246524
142,44.770203,10.004545,10.786777,12.416185,0.28156576,0.324098
143,44.770203,10.04394,10.791456,12.391914,0.2816879,0.32346442
144,44.770203,10.083333,10.792546,12.368431,0.28171635,0.32285145
145,44.770203,10.122727,10.791481,12.349501,0.28168854,0.32235733
146,44.770203,10.162121,10.792096,12.338743,0.2817046,0.32207653
147,44.770203,10.201515,10.800519,12.339491,0.28192446,0.32209602
148,44.770203,10.240909,10.825078,12.354551,0.28256553,0.32248914
149,44.770203,10.280303,10.876223,12.385925,0.28390053,0.3233081
150,44.770203,10.319697,10.965556,12.4344845,0.2862324,0.32457563
151,44.770203,10.359091,11.1020975,12.499714,0.28979653,0.3262783
152,44.770203,10.398485,11.283799,12.579567,0.29453945,0.3283627
153,44.770203,10.437879,11.485481,12.670469,0.29980394,0.3307355
154,44.770203,10.477273,11.653354,12.767519,0.3041859,0.3332688
155,44.770203,10.516666,11.7237425,12.864906,0.30602324,0.33581087
156,44.770203,10.556061,11.66608,12.956379,0.3045181,0.33819857
157,44.770203,10.595454,11.508694,13.035628,0.30040985,0.3402672
158,44.770203,10.634849,11.314439,13.09655,0.29533923,0.34185743
159,44.770203,10.674242,11.13709,13.133301,0.2907099,0.34281674
160,44.770203,10.713636,11.001205,13.140457,0.28716296,0.34300354
161,44.770203,10.753031,10.907295,13.113198,0.28471163,0.342292
162,44.770203,10.792424,10.844554,13.047569,0.2830739,0.3405789
163,44.770203,10.831819,10.800435,12.940719,0.28192228,0.3377898
164,44.770203,10.871212,10.76524,12.791108,0.28100356,0.33388454
165,44.770203,10.910606,10.733278,12.598644,0.28016928,0.32886067
166,44.770203,10.95,10.702508,12.364836,0.2793661,0.3227576
167,44.770203,10.989394,10.673695,12.092899,0.27861398,0.31565928
168,44.770203,11.028788,10.649415,11.7879505,0.2779802,0.30769926
169,44.770203,11.068182,10.632701,11.457003,0.27754393,0.29906055
170,44.770203,11.107575,10.625475,11.108893,0.2773553,0.2899739
171,44.770203,11.14697,10.627517,10.753668,0.2774086,0.28070152
172,44.770203,11.186363,10.636608,10.401762,0.27764592,0.27151576
173,44.770203,11.225758,10.64959,10.062866,0.27798477,0.26266962
174,44.770203,11.265152,10.663484,9.745068,0.27834743,0.25437415
175,44.770203,11.304545,10.676159,9.45423,0.2786783,0.24678247
176,44.770203,11.34394,10.686493,9.193852,0.27894807,0.23998587
177,44.770203,11.383333,10.694209,8.965323,0.27914947,0.2340206
178,44.770203,11.422728,10.699569,8.768287,0.27928936,0.22887738
179,44.770203,11.462121,10.7030735,8.601155,0.27938086,0.22451477
180,44.770203,11.501515,10.705251,8.46151,0.2794377,0.22086963
181,44.770203,11.540909,10.706546,8.346503,0.2794715,0.21786763
182,44.770203,11.580303,10.70729,8.253116,0.27949092,0.21542995
183,44.770203,11.619697,10.707704,8.178365,0.2795017,0.21347873
184,44.770203,11.659091,10.707928,8.119418,0.27950758,0.21194005
185,44.770203,11.698484,10.708046,8.073693,0.27951065,0.21074651
186,44.770203,11.737879,10.708108,8.038882,0.27951226,0.20983784
187,44.770203,11.777273,10.708138,8.012966,0.27951306,0.20916136
188,44.770203,11.816667,10.708155,7.9942102,0.27951348,0.20867176
189,44.770203,11.856061,10.708162,7.9811444,0.2795137,0.20833072
190,44.770203,11.895454,10.708166,7.9725375,0.27951378,0.20810606
191,44.770203,11.934849,10.708168,7.9673724,0.27951384,0.20797123
192,44.770203,11.974242,10.708169,7.9648194,0.27951387,0.20790459
193,44.770203,12.013637,10.70817,7.964206,0.2795139,0.20788857
194,44.770203,12.05303,10.70817,7.9649973,0.2795139,0.20790923
195,44.770203,12.092424,10.70817,7.9667683,0.2795139,0.20795545
196,44.770203,12.131818,10.70817,7.9691896,0.2795139,0.20801866
197,44.770203,12.171212,10.70817,7.9720073,0.2795139,0.20809221
198,44.770203,12.210606,10.70817,7.97503,0.2795139,0.20817111
199,44.770203,12.25,10.70817,7.978115,0.2795139,0.20825164
200,44.790405,8.35,10.7081585,7.2656813,0.2795136,0.18965508
201,44.790405,8.389394,10.708101,7.2054687,0.2795121,0.18808335
202,44.790405,8.428788,10.70795,7.146214,0.27950814,0.18653664
203,44.790405,8.468182,10.707599,7.089596,0.27949896,0.18505874
204,44.790405,8.507576,10.706844,7.03772,0.2794793,0.18370464
205,44.790405,8.546969,10.705334,6.993129,0.27943987,0.18254068
206,44.790405,8.586364,10.702503,6.9589524,0.27936596,0.18164858
207,44.790405,8.625757,10.697576,6.9388447,0.27923733,0.1811237
208,44.790405,8.665152,10.689723,6.937021,0.27903238,0.1810761
209,44.790405,8.704545,10.678603,6.958153,0.2787421,0.1816277
210,44.790405,8.743939,10.66543,7.0071635,0.27839825,0.18290703
211,44.790405,8.783334,10.654479,7.088923,0.2781124,0.18504117
212,44.790405,8.822727,10.653995,7.2077265,0.27809975,0.1881423
213,44.790405,8.862122,10.674493,7.366685,0.27863482,0.19229156
214,44.790405,8.901515,10.722919,7.566997,0.27989888,0.19752029
215,44.790405,8.940909,10.794836,7.807351,0.28177613,0.20379421
216,44.790405,8.980303,10.871817,8.083625,0.28378552,0.21100575
217,44.790405,9.019697,10.929726,8.388954,0.28529713,0.21897572
218,44.790405,9.059091,10.952937,8.714432,0.285903,0.22747162
219,44.790405,9.098485,10.941936,9.050076,0.28561583,0.23623288
220,44.790405,9.137878,10.908767,9.386075,0.28475004,0.24500343
221,44.790405,9.177273,10.867496,9.713955,0.28367275,0.25356203
222,44.790405,9.216666,10.828069,10.027247,0.2826436,0.26173985
223,44.790405,9.256061,10.795345,10.321995,0.28178942,0.26943362
224,44.790405,9.295455,10.770691,10.596558,0.28114587,0.27660048
225,44.790405,9.334848,10.753743,10.851251,0.28070349,0.2832487
226,44.790405,9.374243,10.743538,11.087688,0.28043708,0.2894204
227,44.790405,9.413636,10.739051,11.307991,0.28031996,0.29517093
228,44.790405,9.453031,10.739371,11.514118,0.28032833,0.30055144
229,44.790405,9.492424,10.743648,11.707306,0.28043994,0.3055942
230,44.790405,9.531818,10.750917,11.887751,0.28062972,0.3103043
231,44.790405,9.571212,10.7599,12.054535,0.28086418,0.31465787
232,44.790405,9.610606,10.768951,12.20585,0.28110045,0.31860763
233,44.790405,9.65,10.776299,12.339386,0.28129226,0.3220933
234,44.790405,9.689394,10.780589,12.452852,0.28140423,0.3250551
235,44.790405,9.728787,10.7815075,12.544484,0.28142822,0.32744694
236,44.790405,9.768182,10.780129,12.613452,0.28139225,0.3292472
237,44.790405,9.807576,10.778709,12.660078,0.28135517,0.33046427
238,44.790405,9.84697,10.779867,12.685816,0.2813854,0.3311361
239,44.790405,9.886364,10.785442,12.693121,0.28153092,0.33132678
240,44.790405,9.925757,10.795483,12.685206,0.281793,0.3311202
241,44.790405,9.965152,10.807894,12.665701,0.28211695,0.33061105
242,44.790405,10.004545,10.81913,12.638477,0.28241026,0.32990044
