,Latitude,Longitude,NO2,Normalized
197,44.75,12.212312,6.4443746,0.2945365
198,44.75,12.231155,6.4318447,0.29396382
199,44.75,12.25,6.4200506,0.2934248
200,44.76055,8.5,5.7121215,0.26106927
201,44.76055,8.518845,5.740901,0.26238462
202,44.76055,8.537688,5.773692,0.26388332
203,44.76055,8.556533,5.8107085,0.26557514
204,44.76055,8.5753765,5.8521776,0.26747048
205,44.76055,8.594221,5.898297,0.2695783
206,44.76055,8.613066,5.9492903,0.27190894
207,44.76055,8.631909,6.0053368,0.2744705
208,44.76055,8.650754,6.0666556,0.27727306
209,44.76055,8.669598,6.1334066,0.2803239
210,44.76055,8.688442,6.2057586,0.2836307
211,44.76055,8.707287,6.2838573,0.28720015
212,44.76055,8.7261305,6.367819,0.29103756
213,44.76055,8.744975,6.457745,0.2951476
214,44.76055,8.763819,6.553668,0.2995317
215,44.76055,8.782663,6.6556435,0.30419242
216,44.76055,8.801508,6.763625,0.30912766
217,44.76055,8.820352,6.8775506,0.31433457
218,44.76055,8.839196,6.9973083,0.319808
219,44.76055,8.85804,7.1226983,0.3255389
220,44.76055,8.876884,7.2535133,0.33151773
221,44.76055,8.895729,7.389424,0.33772942
222,44.76055,8.914573,7.530088,0.3441584
223,44.76055,8.933417,7.6750746,0.35078496
224,44.76055,8.952261,7.823898,0.35758683
225,44.76055,8.971106,7.976034,0.36454013
226,44.76055,8.98995,8.13088,0.3716173
227,44.76055,9.008794,8.287811,0.37878972
228,44.76055,9.027638,8.446161,0.38602704
229,44.76055,9.046482,8.605259,0.3932985
230,44.76055,9.065327,8.76442,0.40057284
231,44.76055,9.084171,8.922961,0.40781888
232,44.76055,9.103015,9.080232,0.41500685
233,44.76055,9.12186,9.23559,0.42210743
234,44.76055,9.140703,9.38845,0.42909378
235,44.76055,9.159548,9.538288,0.43594205
236,44.76055,9.178392,9.684626,0.44263035
237,44.76055,9.197236,9.827042,0.4491394
238,44.76055,9.216081,9.965229,0.45545515
239,44.76055,9.234924,10.0989,0.4615645
240,44.76055,9.253769,10.22789,0.46745992
241,44.76055,9.272614,10.3520775,0.47313586
242,44.76055,9.291457,10.471407,0.47858974
243,44.76055,9.310302,10.58591,0.48382303
244,44.76055,9.329145,10.695644,0.48883837
245,44.76055,9.34799,10.800753,0.4936423
246,44.76055,9.366835,10.901399,0.49824226
247,44.76055,9.385678,10.997774,0.50264704
248,44.76055,9.404523,11.090112,0.5068673
249,44.76055,9.423367,11.178648,0.5109138
250,44.76055,9.442211,11.263634,0.514798
251,44.76055,9.461055,11.345327,0.5185318
252,44.76055,9.479899,11.42396,0.5221256
253,44.76055,9.498744,11.499754,0.52558976
