"","IDSensor","IDStation","Pollutant","NameStation","Altitude","Province","City","DateStart","DateStop","Latitude","Longitude"
"83",5568,565,"NO2","Cant� - via Meucci",369,"CO","Cant�",1994-02-15,NA,45.7308367226743,9.12573432702293
"84",9802,670,"NO2","Mantova - S.Agnese",22,"MN","Mantova",2004-12-31,NA,45.1605683301058,10.7955641137079
"85",5815,536,"CO","Arese",157,"MI","Arese",1991-10-15,2011-07-22,45.5434332545016,9.08072583128464
"86",5737,578,"Ozone","Varenna $",220,"LC","Varenna",1991-02-17,2008-02-07,46.0094228347424,9.28530405958397
"87",5685,576,"Sulfur_dioxide","Merate",279,"LC","Merate",1991-02-17,2003-07-30,45.6979519897024,9.4061909386866
"88",20032,693,"NOx","Sannazzaro de' Burgondi - AGIP",85,"PV","Sannazzaro de' Burgondi",2013-10-24,NA,45.1027662768414,8.90417452771467
"89",9918,664,"NOx","Mantova - p.zza Gramsci",18,"MN","Mantova",2004-06-08,NA,45.1517433795766,10.7814077000957
"90",30158,649,"PM2.5","Brescia - Broletto",149,"BS","Brescia",2013-12-13,NA,45.5400578469714,10.2228184492742
"91",5580,577,"NO2","Calolziocorte",215,"LC","Calolziocorte",1994-11-28,2018-07-30,45.8020955051409,9.42946732027788
"92",10456,1265,"PM2.5","Lodi - S. Alberto",76,"LO","Lodi",2009-08-03,NA,45.3027835030958,9.49527369692632
"93",5846,570,"CO","Tirano - viale Italia",439,"SO","Tirano",1996-05-30,2018-07-30,46.2177462143941,10.1564702321463
"94",12685,633,"Arsenic","Soresina",70,"CR","Soresina",2008-04-01,NA,45.2839771544676,9.86339841999363
"95",6940,601,"PM10","Montanaso",84,"LO","Montanaso Lombardo",2004-07-30,2017-01-01,45.336131009052,9.45255388178171
"96",10320,548,"PM10","Milano - via Senato",118,"MI","Milano",2007-08-10,NA,45.470499014097,9.19746036011253
"97",10018,685,"Benzene","Calusco d' Adda",273,"BG","Calusco d'Adda",2006-06-30,NA,45.6904290785451,9.48426092764779
"98",6880,665,"NO2","Viadana",37,"MN","Viadana",2003-10-25,NA,44.9246940495507,10.5175020671178
"99",5679,562,"Sulfur_dioxide","Mariano Comense",256,"CO","Mariano Comense",1991-02-17,2002-06-05,45.6886573138168,9.18065776863827
"100",9856,672,"Ozone","Cornale (Voghera Energia)",74,"PV","Cornale",2005-07-29,NA,45.0400765720296,8.91414459900241
"101",10004,684,"NOx","Truccazzano",105,"MI","Truccazzano",2006-02-17,2018-01-01,45.48455813668,9.47134838897473
"102",6368,507,"NOx","Villasanta $",176,"MB","Villasanta",1990-02-13,2010-06-20,45.6086213496584,9.30711845157256
"103",10133,700,"CO","Melara",12,"RO","Melara",2006-11-28,NA,45.0632143616133,11.2092107496994
"104",10405,584,"PM10","Bergamo - via Garibaldi",249,"BG","Bergamo",2008-12-19,NA,45.6956803443269,9.66124914606551
"105",6062,503,"Benzene","Milano - P.zza  Zavattari",122,"MI","Milano",2000-01-17,2018-07-30,45.4760634050979,9.14178626718666
"106",6057,548,"Benzene","Milano - via Senato",118,"MI","Milano",1999-01-01,NA,45.470499014097,9.19746036011253
"107",6764,649,"CO","Brescia - Broletto",149,"BS","Brescia",1983-01-01,NA,45.5400578469714,10.2228184492742
"108",30162,669,"NOx","Brescia - Villaggio Sereno",70,"BS","Brescia",2013-01-22,NA,45.5130388186538,10.1919418887793
"109",6426,631,"NOx","Piadena",30,"CR","Piadena",2002-02-16,2018-07-30,45.1297932236774,10.3798316685224
"110",5552,549,"NO2","Milano - P.zza Abbiategrasso",111,"MI","Milano",1995-05-20,2018-07-30,45.4321973057331,9.18213891908094
"111",6804,654,"Ozone","Sarezzo - via Minelli",269,"BS","Sarezzo",2004-03-12,NA,45.6496267122407,10.205090218837
"112",10049,689,"Sulfur_dioxide","Galliavola - AGIP",87,"PV","Galliavola",2007-01-01,2017-01-01,45.0951216334813,8.82030831999621
"113",9872,673,"PM10","Voghera - via Pozzoni",90,"PV","Voghera",2005-07-05,NA,44.9995459891403,9.00843738181569
"114",5677,564,"Sulfur_dioxide","Erba - via Battisti",279,"CO","Erba",2009-06-13,NA,45.808573806923,9.22177920448843
"115",10085,695,"PM2.5","Ponti sul Mincio",113,"MN","Ponti sul Mincio",2007-01-12,NA,45.4127716916863,10.6833573437868
"116",5586,583,"NO2","Bergamo - via Meucci",249,"BG","Bergamo",1989-06-01,NA,45.6910374054721,9.64365057946138
"117",6232,561,"NOx","Como - viale Cattaneo",202,"CO","Como",1991-01-01,NA,45.8150428601129,9.06697137484454
"118",5590,587,"NO2","Casnigo - via Europa $",514,"BG","Casnigo",1989-11-08,2005-05-05,45.8146389805329,9.86770061431094
"119",5955,628,"NO2","Cremona - p.zza Libert� $",61,"CR","Cremona",1992-11-01,2006-04-04,45.1373789627348,10.0323590662759
"120",9916,668,"NOx","Mantova - Lunetta 2",25,"MN","Mantova",2004-08-04,2018-07-30,45.1579852781892,10.8239314339681
"121",30159,655,"NOx","Darfo (aria)",221,"BS","Darfo Boario Terme",2013-01-23,NA,45.8746021098904,10.1773568089814
"122",6284,511,"NOx","Abbiategrasso",118,"MI","Abbiategrasso",1998-01-23,2018-07-30,45.3954044901462,8.91341656677829
"123",10028,685,"PM2.5","Calusco d' Adda",273,"BG","Calusco d'Adda",2006-06-30,NA,45.6904290785451,9.48426092764779
"124",20042,703,"Ammonia","Schivenoglia",NA,"MN","Schivenoglia",2013-10-24,NA,45.0168778207554,11.0760946326405
"125",5798,561,"CO","Como - viale Cattaneo",202,"CO","Como",1991-02-17,NA,45.8150428601129,9.06697137484454
"126",5681,577,"Sulfur_dioxide","Calolziocorte",215,"LC","Calolziocorte",1993-06-01,2002-11-28,45.8020955051409,9.42946732027788
"127",5725,528,"Ozone","Milano - Verziere",116,"MI","Milano",1988-09-20,NA,45.4633467406665,9.19532480766886
"128",6374,571,"NOx","Bormio",1225,"SO","Bormio",1993-11-01,NA,46.4695239713258,10.375432759159
"129",5674,588,"Sulfur_dioxide","Tavernola Bergamasca",191,"BG","Tavernola Bergamasca",1990-08-09,2011-09-12,45.7162999241173,10.0447659993684
