"","Date","IDStation","PM10"
"224",2019-08-01,669,21.8387096774194
"225",2019-09-01,669,31.4642857142857
"226",2019-10-01,669,32.6086956521739
"227",2019-11-01,669,22.5862068965517
"228",2019-12-01,669,42.3448275862069
"229",2020-01-01,669,59.4516129032258
"230",2020-02-01,669,43.9310344827586
"231",2020-03-01,669,35.3548387096774
"232",2020-04-01,669,27.3076923076923
"233",2020-05-01,669,19.2903225806452
"234",2020-06-01,669,14.5714285714286
"235",2020-07-01,669,20.2333333333333
"236",2020-08-01,669,19.5833333333333
"237",2020-09-01,669,22.8666666666667
"238",2020-10-01,669,31.2592592592593
"239",2020-11-01,669,48.7777777777778
"240",2020-12-01,669,42.6774193548387
"241",2019-01-01,558,42.5161290322581
"242",2019-02-01,558,47.0714285714286
"243",2019-03-01,558,24.6538461538462
"244",2019-04-01,558,15.5666666666667
"245",2019-05-01,558,9.29032258064516
"246",2019-06-01,558,20.7857142857143
"247",2019-07-01,558,18.0967741935484
"248",2019-08-01,558,14.0344827586207
"249",2019-09-01,558,17.2758620689655
"250",2019-10-01,558,18.6774193548387
"251",2019-11-01,558,16.1428571428571
"252",2019-12-01,558,29.8709677419355
"253",2020-01-01,558,53.6774193548387
"254",2020-02-01,558,37.0689655172414
"255",2020-03-01,558,22.1290322580645
"256",2020-04-01,558,15.1333333333333
"257",2020-05-01,558,9.12903225806452
"258",2020-06-01,558,8.93333333333333
"259",2020-07-01,558,13.7741935483871
"260",2020-08-01,558,13.6451612903226
"261",2020-09-01,558,16.6
"262",2020-10-01,558,16.5483870967742
"263",2020-11-01,558,41.4285714285714
"264",2020-12-01,558,19.8387096774194
"265",2019-01-01,685,39.5806451612903
"266",2019-02-01,685,41.2857142857143
"267",2019-03-01,685,25.5483870967742
"268",2019-04-01,685,17
"269",2019-05-01,685,12.4193548387097
"270",2019-06-01,685,25.3666666666667
"271",2019-07-01,685,20.3225806451613
"272",2019-08-01,685,15.9310344827586
"273",2019-09-01,685,21.1
"274",2019-10-01,685,21.7741935483871
"275",2019-11-01,685,15.5769230769231
"276",2019-12-01,685,29.7096774193548
"277",2020-01-01,685,47.0689655172414
"278",2020-02-01,685,36.5172413793103
"279",2020-03-01,685,27.1290322580645
"280",2020-04-01,685,21.9666666666667
"281",2020-05-01,685,15.9032258064516
"282",2020-06-01,685,13.6206896551724
"283",2020-07-01,685,18.0645161290323
"284",2020-08-01,685,16.3548387096774
"285",2020-09-01,685,19.3333333333333
"286",2020-10-01,685,18.0967741935484
"287",2020-11-01,685,49.9
"288",2020-12-01,685,31.7096774193548
"289",2019-01-01,565,37.7931034482759
"290",2019-02-01,565,42.2142857142857
"291",2019-03-01,565,21.6451612903226
"292",2019-04-01,565,16.3
"293",2019-05-01,565,11.1935483870968
"294",2019-06-01,565,21.4666666666667
"295",2019-07-01,565,17.1935483870968
"296",2019-08-01,565,14.4838709677419
"297",2019-09-01,565,19.3703703703704
"298",2019-10-01,565,21.8709677419355
"299",2019-11-01,565,16.8076923076923
"300",2019-12-01,565,29.8064516129032
"301",2020-01-01,565,47.1612903225806
"302",2020-02-01,565,32.2222222222222
"303",2020-03-01,565,24.6774193548387
"304",2020-04-01,565,21.3703703703704
"305",2020-05-01,565,13.0967741935484
"306",2020-06-01,565,10.3666666666667
"307",2020-07-01,565,14.9354838709677
"308",2020-08-01,565,13.0645161290323
"309",2020-09-01,565,17.3666666666667
"310",2020-10-01,565,19.5333333333333
"311",2020-11-01,565,51.4666666666667
"312",2020-12-01,565,33.0322580645161
"313",2019-01-01,609,47.3
"314",2019-02-01,609,55.4814814814815
"315",2019-03-01,609,33.4193548387097
"316",2019-04-01,609,21.8
"317",2019-05-01,609,14.0769230769231
"318",2019-06-01,609,28.0666666666667
"319",2019-07-01,609,24.7
"320",2019-08-01,609,22.1935483870968
"321",2019-09-01,609,27.1875
"322",2019-10-01,609,28.2666666666667
"323",2019-11-01,609,19.28
"324",2019-12-01,609,39.8965517241379
"325",2020-01-01,609,63.4827586206897
"326",2020-02-01,609,45.8846153846154
"327",2020-03-01,609,33.7333333333333
"328",2020-04-01,609,26.2413793103448
"329",2020-05-01,609,15.2258064516129
"330",2020-06-01,609,14.1333333333333
"331",2020-07-01,609,17.2
"332",2020-08-01,609,15.6774193548387
"333",2020-09-01,609,25
"334",2020-10-01,609,24.2
"335",2020-11-01,609,53.8928571428571
"336",2020-12-01,609,34.6774193548387
"337",2019-01-01,690,48.3448275862069
"338",2019-02-01,690,45.0714285714286
"339",2019-03-01,690,21.3793103448276
"340",2019-04-01,690,14.3
"341",2019-05-01,690,10.0588235294118
"342",2019-06-01,690,16.5185185185185
