,Latitude,Longitude,NO2,norm
255,44.75955,9.26005,11.233925,0.29326412
256,44.75955,9.2738695,11.229452,0.29314736
257,44.75955,9.287688,11.225452,0.29304293
258,44.75955,9.301508,11.221916,0.29295063
259,44.75955,9.315327,11.218829,0.29287004
260,44.75955,9.329145,11.21617,0.29280064
261,44.75955,9.342965,11.213917,0.2927418
262,44.75955,9.356784,11.212047,0.292693
263,44.75955,9.370603,11.210537,0.29265356
264,44.75955,9.384422,11.209366,0.29262298
265,44.75955,9.398241,11.208511,0.2926007
266,44.75955,9.412061,11.207954,0.29258615
267,44.75955,9.4258795,11.207674,0.29257882
268,44.75955,9.439698,11.207652,0.29257825
269,44.75955,9.453518,11.20787,0.29258394
270,44.75955,9.467337,11.208309,0.29259542
271,44.75955,9.481155,11.208952,0.2926122
272,44.75955,9.494975,11.209776,0.29263368
273,44.75955,9.508794,11.210761,0.2926594
274,44.75955,9.522614,11.211882,0.29268867
275,44.75955,9.536432,11.213114,0.29272082
276,44.75955,9.550251,11.214428,0.29275513
277,44.75955,9.564071,11.215795,0.29279083
278,44.75955,9.577889,11.21718,0.29282698
279,44.75955,9.591708,11.218554,0.29286283
280,44.75955,9.605528,11.219879,0.29289743
281,44.75955,9.619347,11.2211275,0.29293004
282,44.75955,9.633165,11.222268,0.2929598
283,44.75955,9.646985,11.223274,0.29298607
284,44.75955,9.660804,11.224128,0.29300836
285,44.75955,9.6746235,11.224813,0.29302627
286,44.75955,9.688442,11.225326,0.29303962
287,44.75955,9.702261,11.225669,0.2930486
288,44.75955,9.716081,11.225854,0.29305342
289,44.75955,9.729899,11.225902,0.29305467
290,44.75955,9.743718,11.225843,0.29305315
291,44.75955,9.757538,11.225716,0.2930498
292,44.75955,9.771357,11.225561,0.29304576
293,44.75955,9.785176,11.225428,0.2930423
294,44.75955,9.798995,11.225364,0.29304063
295,44.75955,9.812814,11.225417,0.293042
296,44.75955,9.826633,11.225633,0.29304764
297,44.75955,9.840452,11.2260475,0.29305848
298,44.75955,9.854271,11.22669,0.29307526
299,44.75955,9.868091,11.227579,0.29309845
300,44.75955,9.881909,11.228716,0.29312813
301,44.75955,9.895729,11.230094,0.2931641
302,44.75955,9.909548,11.231688,0.2932057
303,44.75955,9.923367,11.2334585,0.29325193
304,44.75955,9.937186,11.235358,0.29330152
305,44.75955,9.951005,11.237326,0.2933529
306,44.75955,9.964824,11.239294,0.29340428
307,44.75955,9.978643,11.241195,0.2934539
308,44.75955,9.992462,11.242958,0.29349992
309,44.75955,10.006282,11.244524,0.2935408
310,44.75955,10.020101,11.245839,0.29357514
311,44.75955,10.033919,11.246869,0.29360202
312,44.75955,10.047739,11.247596,0.293621
313,44.75955,10.061558,11.248021,0.2936321
314,44.75955,10.0753765,11.248174,0.29363608
315,44.75955,10.089196,11.248104,0.29363427
316,44.75955,10.103015,11.24789,0.2936287
317,44.75955,10.116835,11.247635,0.29362202
318,44.75955,10.130653,11.247465,0.29361758
319,44.75955,10.144472,11.247535,0.2936194
320,44.75955,10.158292,11.248018,0.29363203
321,44.75955,10.172111,11.249117,0.2936607
322,44.75955,10.185929,11.251058,0.29371136
323,44.75955,10.199749,11.254089,0.29379052
324,44.75955,10.213568,11.258489,0.29390535
325,44.75955,10.227386,11.264558,0.29406378
326,44.75955,10.241206,11.272624,0.29427436
327,44.75955,10.255025,11.28304,0.29454628
328,44.75955,10.268845,11.296174,0.29488915
329,44.75955,10.282663,11.312407,0.29531288
330,44.75955,10.296482,11.332113,0.29582733
331,44.75955,10.310302,11.355648,0.29644173
332,44.75955,10.3241205,11.38331,0.29716384
333,44.75955,10.337939,11.415313,0.2979993
334,44.75955,10.351759,11.451742,0.29895028
335,44.75955,10.365578,11.492494,0.3000141
336,44.75955,10.379397,11.537235,0.3011821
337,44.75955,10.393216,11.585338,0.3024378
338,44.75955,10.407035,11.635845,0.30375633
339,44.75955,10.420855,11.687452,0.30510354
340,44.75955,10.434673,11.738497,0.30643606
341,44.75955,10.448492,11.787046,0.30770347
342,44.75955,10.462312,11.830977,0.3088503
343,44.75955,10.4761305,11.868143,0.30982053
344,44.75955,10.48995,11.896561,0.31056237
345,44.75955,10.503769,11.914617,0.31103373
346,44.75955,10.517588,11.921266,0.3112073
347,44.75955,10.531407,11.916154,0.31107384
348,44.75955,10.545226,11.899646,0.3106429
349,44.75955,10.559045,11.8728075,0.30994228
350,44.75955,10.572865,11.837242,0.30901384
351,44.75955,10.586683,11.794937,0.30790946
352,44.75955,10.600503,11.748027,0.30668485
353,44.75955,10.614322,11.698615,0.30539495
354,44.75955,10.62814,11.648616,0.30408973
355,44.75955,10.64196,11.599633,0.302811
356,44.75955,10.655779,11.552938,0.30159202
357,44.75955,10.669598,11.50943,0.30045623
358,44.75955,10.683417,11.469665,0.29941815
359,44.75955,10.697236,11.43392,0.29848504
360,44.75955,10.711055,11.402214,0.29765734
361,44.75955,10.7248745,11.374394,0.2969311
362,44.75955,10.738693,11.350174,0.29629883
363,44.75955,10.752513,11.329182,0.2957508
364,44.75955,10.766332,11.311006,0.2952763
365,44.75955,10.78015,11.2952175,0.29486418
366,44.75955,10.79397,11.2814,0.29450345
367,44.75955,10.807789,11.269164,0.29418403
368,44.75955,10.821608,11.258155,0.29389665
369,44.75955,10.835427,11.248061,0.29363313
370,44.75955,10.849246,11.23862,0.29338667
371,44.75955,10.863066,11.229612,0.29315153
372,44.75955,10.876884,11.220869,0.29292327
373,44.75955,10.890703,11.212262,0.2926986
374,44.75955,10.904523,11.203707,0.29247525
375,44.75955,10.918342,11.195156,0.29225203
376,44.75955,10.93216,11.186603,0.29202875
377,44.75955,10.94598,11.178068,0.29180595
378,44.75955,10.959799,11.169612,0.2915852
379,44.75955,10.9736185,11.161312,0.29136854
380,44.75955,10.987437,11.1532755,0.29115874
381,44.75955,11.001256,11.14562,0.2909589
382,44.75955,11.015076,11.138478,0.29077247
383,44.75955,11.028894,11.13198,0.2906028
384,44.75955,11.042713,11.12625,0.29045326
385,44.75955,11.056533,11.1214,0.29032663
386,44.75955,11.070352,11.1175165,0.29022524
387,44.75955,11.084171,11.11466,0.29015067
388,44.75955,11.09799,11.112862,0.29010373
389,44.75955,11.111809,11.112114,0.2900842
390,44.75955,11.125628,11.112383,0.29009122
391,44.75955,11.139447,11.113602,0.29012305
392,44.75955,11.153266,11.115678,0.29017726
393,44.75955,11.167086,11.118509,0.29025117
394,44.75955,11.180904,11.12197,0.2903415
395,44.75955,11.194724,11.125938,0.2904451
396,44.75955,11.208543,11.130284,0.29055855
397,44.75955,11.222362,11.134885,0.29067865
398,44.75955,11.236181,11.139626,0.29080242
399,44.75955,11.25,11.144402,0.29092708
400,44.769096,8.5,11.192796,0.29219043
401,44.769096,8.513819,11.192507,0.2921829
402,44.769096,8.527638,11.192143,0.2921734
403,44.769096,8.541457,11.19169,0.29216158
404,44.769096,8.555276,11.19113,0.29214692
405,44.769096,8.569096,11.190441,0.29212895
406,44.769096,8.582914,11.189602,0.29210705
407,44.769096,8.596734,11.188587,0.29208055
408,44.769096,8.610553,11.187371,0.2920488
409,44.769096,8.624372,11.18593,0.2920112
410,44.769096,8.638191,11.18424,0.2919671
411,44.769096,8.65201,11.182282,0.29191598
412,44.769096,8.665829,11.180043,0.2918575
413,44.769096,8.679648,11.177522,0.2917917
414,44.769096,8.693467,11.174732,0.29171887
415,44.769096,8.707287,11.171708,0.29163992
416,44.769096,8.721106,11.168508,0.2915564
417,44.769096,8.734924,11.165219,0.29147053
418,44.769096,8.748744,11.161968,0.29138568
419,44.769096,8.762563,11.158915,0.29130596
420,44.769096,8.7763815,11.156259,0.2912366
421,44.769096,8.790201,11.154235,0.2911838
422,44.769096,8.80402,11.153108,0.29115435
423,44.769096,8.81784,11.153158,0.29115567
424,44.769096,8.831658,11.154663,0.29119498
425,44.769096,8.845477,11.157881,0.29127896
426,44.769096,8.859297,11.16302,0.29141313
427,44.769096,8.873116,11.170212,0.29160085
428,44.769096,8.886934,11.179489,0.29184306
429,44.769096,8.900754,11.190764,0.29213738
430,44.769096,8.914573,11.2038145,0.29247808
431,44.769096,8.928392,11.21829,0.29285598
432,44.769096,8.942211,11.233718,0.2932587
433,44.769096,8.95603,11.249537,0.29367167
434,44.769096,8.96985,11.26514,0.29407898
435,44.769096,8.983668,11.279903,0.29446438
436,44.769096,8.997487,11.293254,0.29481292
437,44.769096,9.011307,11.304704,0.2951118
438,44.769096,9.0251255,11.313887,0.29535154
439,44.769096,9.038945,11.320576,0.29552615
440,44.769096,9.052764,11.324693,0.2956336
441,44.769096,9.066583,11.3263035,0.29567567
442,44.769096,9.080402,11.325585,0.29565692
443,44.769096,9.094221,11.32281,0.29558447
444,44.769096,9.10804,11.318311,0.29546702
445,44.769096,9.12186,11.312441,0.29531378
446,44.769096,9.135678,11.305561,0.2951342
447,44.769096,9.149497,11.298007,0.29493698
448,44.769096,9.163317,11.29008,0.29473007
449,44.769096,9.177135,11.282041,0.29452017
450,44.769096,9.190955,11.274096,0.29431278
451,44.769096,9.204774,11.266412,0.29411218
452,44.769096,9.218593,11.25911,0.2939216
453,44.769096,9.232412,11.252275,0.29374316
454,44.769096,9.246231,11.245962,0.29357836
455,44.769096,9.26005,11.240199,0.2934279
456,44.769096,9.2738695,11.234999,0.29329214
457,44.769096,9.287688,11.230355,0.29317093
458,44.769096,9.301508,11.226256,0.2930639
459,44.769096,9.315327,11.222682,0.29297063
460,44.769096,9.329145,11.219607,0.29289034
461,44.769096,9.342965,11.217007,0.29282245
462,44.769096,9.356784,11.214853,0.29276624
463,44.769096,9.370603,11.2131195,0.29272097
464,44.769096,9.384422,11.211781,0.29268602
465,44.769096,9.398241,11.210813,0.29266077
466,44.769096,9.412061,11.210191,0.29264453
467,44.769096,9.4258795,11.209893,0.29263675
468,44.769096,9.439698,11.209899,0.2926369
469,44.769096,9.453518,11.210188,0.29264444
470,44.769096,9.467337,11.210739,0.29265884
471,44.769096,9.481155,11.211529,0.29267946
472,44.769096,9.494975,11.212536,0.29270574
473,44.769096,9.508794,11.213735,0.29273704
474,44.769096,9.522614,11.215096,0.2927726
475,44.769096,9.536432,11.216592,0.29281163
476,44.769096,9.550251,11.218186,0.29285327
477,44.769096,9.564071,11.219843,0.2928965
478,44.769096,9.577889,11.221525,0.2929404
479,44.769096,9.591708,11.22319,0.2929839
480,44.769096,9.605528,11.224799,0.29302588
481,44.769096,9.619347,11.226313,0.2930654
482,44.769096,9.633165,11.227693,0.29310143
483,44.769096,9.646985,11.228908,0.29313314
484,44.769096,9.660804,11.229933,0.2931599
485,44.769096,9.6746235,11.23075,0.29318124
486,44.769096,9.688442,11.231352,0.29319695
487,44.769096,9.702261,11.231742,0.29320714
488,44.769096,9.716081,11.231934,0.29321212
489,44.769096,9.729899,11.231954,0.29321265
490,44.769096,9.743718,11.231837,0.2932096
491,44.769096,9.757538,11.231631,0.29320425
492,44.769096,9.771357,11.231388,0.2931979
493,44.769096,9.785176,11.231168,0.29319215
494,44.769096,9.798995,11.23103,0.29318854
495,44.769096,9.812814,11.231036,0.2931887
496,44.769096,9.826633,11.23124,0.29319403
497,44.769096,9.840452,11.231689,0.29320577
498,44.769096,9.854271,11.232421,0.29322484
499,44.769096,9.868091,11.233458,0.2932519
500,44.769096,9.881909,11.234804,0.29328707
501,44.769096,9.895729,11.236451,0.29333007
502,44.769096,9.909548,11.238369,0.2933801
503,44.769096,9.923367,11.240511,0.29343605
504,44.769096,9.937186,11.242814,0.29349616
505,44.769096,9.951005,11.245206,0.2935586
506,44.769096,9.964824,11.247601,0.29362112
507,44.769096,9.978643,11.249912,0.29368147
508,44.769096,9.992462,11.252055,0.2937374
509,44.769096,10.006282,11.253949,0.29378685
510,44.769096,10.020101,11.255529,0.2938281
511,44.769096,10.033919,11.256748,0.29385993
512,44.769096,10.047739,11.257579,0.2938816
513,44.769096,10.061558,11.258022,0.2938932
514,44.769096,10.0753765,11.258108,0.29389542
515,44.769096,10.089196,11.257893,0.2938898
516,44.769096,10.103015,11.257466,0.29387867
517,44.769096,10.116835,11.2569475,0.2938651
518,44.769096,10.130653,11.256482,0.29385298
519,44.769096,10.144472,11.2562475,0.29384685
520,44.769096,10.158292,11.256447,0.29385206
521,44.769096,10.172111,11.25731,0.2938746
522,44.769096,10.185929,11.259094,0.29392117
523,44.769096,10.199749,11.262086,0.29399925
524,44.769096,10.213568,11.266601,0.29411712
525,44.769096,10.227386,11.272983,0.29428372
526,44.769096,10.241206,11.281609,0.2945089
527,44.769096,10.255025,11.292882,0.2948032
528,44.769096,10.268845,11.307232,0.29517782
529,44.769096,10.282663,11.325102,0.2956443
530,44.769096,10.296482,11.346938,0.29621434
531,44.769096,10.310302,11.373169,0.2968991
532,44.769096,10.3241205,11.404167,0.29770833
533,44.769096,10.337939,11.440216,0.2986494
534,44.769096,10.351759,11.48146,0.29972607
