,desc_zona,id_zona,sigla_prov,Centroide,Latitude,Longitude
367,PREMANA,1193.0,LC,POINT (9.459306598396168 46.05376547735149),46.05376547735149,9.459306598396168
368,ROBBIATE,1194.0,LC,POINT (9.435902864540203 45.6862366274618),45.6862366274618,9.435902864540203
369,BESOZZO,12.0,VA,POINT (8.654619205363003 45.84868358324528),45.84868358324528,8.654619205363003
370,VENEGONO SUPERIORE,120.0,VA,POINT (8.903023227250616 45.7539065204644),45.7539065204644,8.903023227250616
371,ROGENO,1195.0,LC,POINT (9.270910596797492 45.7841728225144),45.7841728225144,9.270910596797492
372,ROVAGNATE,1196.0,LC,POINT (9.372027985087366 45.72994572046196),45.729945720461956,9.372027985087366
373,SANTA MARIA HOE`,1197.0,LC,POINT (9.378464277399027 45.74370015283856),45.743700152838564,9.378464277399027
374,CRESPIATICA,1228.0,LO,POINT (9.575640196373383 45.34721091805089),45.34721091805089,9.575640196373383
375,FOMBIO,1229.0,LO,POINT (9.688391915072417 45.1334840644731),45.1334840644731,9.688391915072417
376,SIRONE,1198.0,LC,POINT (9.323814190544294 45.77489893162166),45.77489893162166,9.323814190544294
377,SORDIO,1254.0,LO,POINT (9.372490741090296 45.34032426176567),45.34032426176567,9.372490741090296
378,ALBESE CON CASSANO,126.0,CO,POINT (9.163914742287403 45.80883435797858),45.80883435797858,9.163914742287403
379,SIRTORI,1199.0,LC,POINT (9.334916188025247 45.73556394000562),45.73556394000562,9.334916188025247
380,TERRANUOVA DEI PASSERINI,1256.0,LO,POINT (9.672479975794513 45.20376428375734),45.20376428375734,9.672479975794513
381,TURANO LODIGIANO,1257.0,LO,POINT (9.627850253962281 45.25262336711028),45.25262336711028,9.627850253962281
382,VALERA FRATTA,1258.0,LO,POINT (9.335209301058505 45.25556262652092),45.25556262652092,9.335209301058505
383,VILLANOVA DEL SILLARO,1259.0,LO,POINT (9.472984159786765 45.24048075765172),45.24048075765172,9.472984159786765
384,ZELO BUON PERSICO,1260.0,LO,POINT (9.438166141930724 45.39568229093283),45.395682290932825,9.438166141930724
385,ALBIOLO,127.0,CO,POINT (8.941821904824852 45.80566614567034),45.805666145670344,8.941821904824852
386,ALSERIO,128.0,CO,POINT (9.200993301212931 45.77951898726774),45.779518987267735,9.20099330121293
387,SUELLO,1200.0,LC,POINT (9.314730306165927 45.81929196575791),45.81929196575791,9.314730306165927
388,TORRE DE` BUSI,1201.0,LC,POINT (9.485061545908222 45.78045757375381),45.780457573753814,9.485061545908222
389,CIRIMIDO,163.0,CO,POINT (9.012530640509587 45.69639305662652),45.69639305662652,9.012530640509587
390,CLAINO CON OSTENO,164.0,CO,POINT (9.093971143077116 46.00958752219011),46.00958752219011,9.093971143077116
391,COLONNO,165.0,CO,POINT (9.14444701300229 45.96196444938774),45.96196444938774,9.14444701300229
