IdSensore,NomeTipoSensore,UnitaMisura,Idstazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,DataStop,Utm_Nord,UTM_Est,lat,lng,location,Valore,idOperatore
6246,Ossidi di Azoto,µg/m³,573,Colico,229.0,LC,Colico,N,06/11/1996,,5109468,529713,46.1381409051264,9.384687247651794,"(46.1381409051264, 9.384687247651794)",31.14316752429953,1
9831,PM10 (SM2005),µg/m³,670,Mantova - S.Agnese,22.0,MN,Mantova,N,30/12/2004,,5002356,641122,45.16056833010576,10.79556411370788,"(45.16056833010576, 10.79556411370788)",-237.23287671232876,1
6220,Ossidi di Azoto,µg/m³,584,Bergamo - via Garibaldi,249.0,BG,Bergamo,N,21/06/1994,,5060449,551482,45.69568034432694,9.66124914606551,"(45.69568034432694, 9.66124914606551)",45.516786639792635,1
6781,Biossido di Azoto,µg/m³,652,Brescia - via Turati,154.0,BS,Brescia,N,13/01/1999,,5043626,596168,45.539529434956,10.231785907477224,"(45.539529434955995, 10.231785907477223)",31.188800000000015,1
6419,Ossidi di Azoto,µg/m³,629,Crema - via XI febbraio,79.0,CR,Crema,N,01/01/2002,,5023885,555127,45.366309078194334,9.703945513613167,"(45.366309078194334, 9.703945513613167)",45.18148571428559,1
10166,Benzene,µg/m³,703,Schivenoglia,,MN,Schivenoglia,N,29/11/2006,,4986922,663580,45.01687782075543,11.07609463264049,"(45.016877820755425, 11.07609463264049)",-482.043448275862,1
6952,PM10 (SM2005),µg/m³,654,Sarezzo - via Minelli,269.0,BS,Sarezzo,N,23/06/2000,,5055826,593900,45.64962671224069,10.205090218837002,"(45.64962671224069, 10.205090218837002)",-322.1188811188811,1
6935,PM10 (SM2005),µg/m³,592,Treviglio,191.0,BG,Treviglio,N,03/02/2000,,5040815,546236,45.51933498138716,9.592009994888423,"(45.51933498138716, 9.592009994888425)",-314.26573426573424,1
6326,Ossidi di Azoto,µg/m³,546,Magenta,137.0,MI,Magenta,N,22/04/1995,,5034328,490635,45.462415791106615,8.880210433125571,"(45.462415791106615, 8.880210433125571)",72.77311428571419,1
5807,Monossido di Carbonio,mg/m³,576,Merate,279.0,LC,Merate,N,24/12/1991,,5060569,531623,45.69795198970243,9.406190938686596,"(45.69795198970243, 9.406190938686596)",-782.4931153184215,1
10288,Ozono,µg/m³,706,Lecco - Via Sora,272.0,LC,Lecco,N,28/06/2007,,5078987,531045,45.86374884127965,9.399950344681852,"(45.86374884127965, 9.399950344681852)",54.49562607204115,1
12685,Arsenico,ng/m³,633,Soresina,70.0,CR,Soresina,N,01/04/2008,,5014860,567712,45.28397715446764,9.863398419993636,"(45.28397715446764, 9.863398419993635)",1.0500000000000005,1
